Part ID,Part #,Description
DDB-BN31C,002-5715,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - 2 XLR In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDB-BN40,001-5725,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - 4 XLR In, 2 Out on Rear-Panel Terminal Block - Black"
DDB-BN40C,002-5725,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - 4 XLR In, 2 Out on Rear-Panel Terminal Block - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDB-BTN44,001-7611,Wall-Mounted Bi-Directional Line-Level and Bluetooth® Audio Dante Interface - Black
DDB-BTN44C,002-7611,Wall-Mounted Bi-Directional Line-Level and Bluetooth® Audio Dante Interface - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DD-BN22,001-5680,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 2 XLR In, 2 XLR Out - White"
DD-BN22C,002-5680,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 2 XLR In, 2 XLR Out - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DD-BN2M,001-5690,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 2 XLR In, 2 Out on Rear-Panel Terminal Block - White"
DD-BN2MC,002-5690,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 2 XLR In, 2 Out on Rear-Panel Terminal Block - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DD-BN2ML,001-5700,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 1 XLR In and 1 Mini-jack In, 2 Out on Rear-Panel Terminal Block - White"
DD-BN2MLC,002-5700,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 1 XLR In and 1 Mini-jack In, 2 Out on Rear-Panel Terminal Block - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DD-BN31,001-5710,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - 2 XLR In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - White"
DD-BN31C,002-5710,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - 2 XLR In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DD-BN40,001-5720,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - 4 XLR In, 2 Out on Rear-Panel Terminal Block - White"
DD-BN40C,002-5720,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - 4 XLR In, 2 Out on Rear-Panel Terminal Block - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDB-RN31,001-7624,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - Software Configurable - 2 XLR In, 2 RCA In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block -  Black"
DDB-RN31C,002-7624,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - Software Configurable - 2 XLR In, 2 RCA In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block -  Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDB-RN40,001-7621,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 4 XLR In, 2 Out on Rear-Panel Terminal Block - Black"
DDB-RN40C,002-7621,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 4 XLR In, 2 Out on Rear-Panel Terminal Block - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDB-RN42,001-7628,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 2 XLR In, 2 XLR Out, 2 In on Rear-Panel Terminal Block - Black"
DDB-RN42C,002-7628,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 2 XLR In, 2 XLR Out, 2 In on Rear-Panel Terminal Block - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DD-BTN44,001-7610,Wall-Mounted Bi-Directional Line-Level and Bluetooth® Audio Dante Interface
DD-BTN44C,002-7610,Wall-Mounted Bi-Directional Line-Level and Bluetooth® Audio Dante Interface (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DD-RN31,001-7623,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - Software Configurable - 2 XLR In, 2 RCA In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - White"
DD-RN31C,002-7623,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - Software Configurable - 2 XLR In, 2 RCA In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DD-RN40,001-7620,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 4 XLR In, 2 Out on Rear-Panel Terminal Block - White"
DD-RN40C,002-7620,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 4 XLR In, 2 Out on Rear-Panel Terminal Block - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DD-RN42,001-7627,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 2 XLR In, 2 XLR Out, 2 In on Rear-Panel Terminal Block - White"
DD-RN42C,002-7627,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 2 XLR In, 2 XLR Out, 2 In on Rear-Panel Terminal Block - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDS-BN22,001-5688,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 2 XLR In, 2 XLR Out - Stainless Steel"
DDS-BN22C,002-5688,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 2 XLR In, 2 XLR Out - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDS-BN2M,001-5698,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 2 XLR In, 2 Out on Rear-Panel Terminal Block - Stainless Steel"
DDS-BN2MC,002-5698,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 2 XLR In, 2 Out on Rear-Panel Terminal Block - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDS-BN2ML,001-5708,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 1 XLR In and 1 Mini-jack In, 2 Out on Rear-Panel Terminal Block - Stainless Steel"
DDS-BN2MLC,002-5708,"Bi-Directional Mic/Line Dante Interface 2 x 2 w/PoE - 1 XLR In and 1 Mini-jack In, 2 Out on Rear-Panel Terminal Block - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDS-BN31,001-5718,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - 2 XLR In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - Stainless Steel"
DDS-BN31C,002-5718,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - 2 XLR In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDS-BN40,001-5728,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - 4 XLR In, 2 Out on Rear-Panel Terminal Block - Stainless Steel"
DDS-BN40C,002-5728,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - 4 XLR In, 2 Out on Rear-Panel Terminal Block - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDS-BTN44,001-7612,Wall-Mounted Bi-Directional Line-Level and Bluetooth® Audio Dante Interface - Stainless Steel
DDS-BTN44C,002-7612,Wall-Mounted Bi-Directional Line-Level and Bluetooth® Audio Dante Interface - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DDS-RN31,001-7625,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - Software Configurable - 2 XLR In, 2 RCA In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - Stainless Steel"
DDS-RN31C,002-7625,"Bi-Directional Mic/Line Dante Interface 4 x 4 w/PoE - Software Configurable - 2 XLR In, 2 RCA In, 1 Mini-jack In, 1 Mini-jack Out, 2 Out on Rear-Panel Terminal Block - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDS-RN40,001-7622,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 4 XLR In, 2 Out on Rear-Panel Terminal Block - Stainless Steel"
DDS-RN40C,002-7622,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 4 XLR In, 2 Out on Rear-Panel Terminal Block - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DDS-RN42,001-7629,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 2 XLR In, 2 XLR Out, 2 In on Rear-Panel Terminal Block - Stainless Steel"
DDS-RN42C,002-7629,"Bi-Directional Mic/Line Dante Interface 4 x 2 w/PoE - Software Configurable - 2 XLR In, 2 XLR Out, 2 In on Rear-Panel Terminal Block - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
D-F,001-0141,Double Type F Jack on D Plate
D-FC,002-0141,Double Type F Jack on D Plate (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DG-PSP1,001-5664,Decora-Style Active Loudspeaker - Gray - User Level Adjust
DG-PSP1A,001-5674,Decora-Style Active Loudspeaker - Format-A - Gray - User Level Adjust
DG-PSP1AF,001-5677,Decora-Style Active Loudspeaker - Format-A - Gray - Installer Level Adjust
DG-PSP1F,001-5668,Decora-Style Active Loudspeaker - Gray - Installer Level Adjust
DG-SP1A,001-5650,2 Watt Decora-Style 8 Ohm Loudspeaker - Gray
D-HA1A,001-5595,Format-A Stereo Headphone Amplifier (Compatible with Guest Room Audio System)
D-HA1AC,002-5595,Format-A Stereo Headphone Amplifier (Compatible with Guest Room Audio System) (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-HPA3,001-5620,3.5 Watt Audio Power and Headphone Amplifier
D-HPA3C,002-5620,3.5 Watt Audio Power and Headphone Amplifier (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-J1,001-5465,"Microphone Input Assembly - XLR, Terminal block"
D-J1C,002-5465,"Microphone Input Assembly - XLR, Terminal block (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
D-J2,001-5475,"Line Input Assembly - RCA jacks, Terminal block"
D-J2C,002-5475,"Line Input Assembly - RCA jacks, Terminal block (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
D-J3,001-5485,"Mic/Line Input Assembly - XLR, RCA, Terminal block"
D-J3C,002-5485,"Mic/Line Input Assembly - XLR, RCA, Terminal block (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
D-J3M,001-5486,"Mic/Line Input Assembly - XLR, Mini-jack, Terminal block"
D-J3MC,002-5486,"Mic/Line Input Assembly - XLR, Mini-jack, Terminal block (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
D-MJPT,001-5460,Mini-Jack Pass-Through Plate
D-MJPTC,002-5460,Mini-Jack Pass-Through Plate (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DMK-5,001-0094,Detachable Mounting Kit
D-NLC1,001-7630,Network Remote Control with LEDs - Dante -  White
D-NLC1R,001-7680,Network Remote Control with LEDs - Dante -  White
D-NMC1,001-7635,Network Remote Control with Screen - Dante - White
D-NMC1R,001-7685,Network Remote Control with Screen - Dante - White
D-NVC2,001-7715,Dante/AES67 Level Control Two Channel with Screen - WHT
D-PA3,001-5625,3.5 Watt Decora® Audio Amplifier
D-PA3C,002-5625,3.5 Watt Decora® Audio Amplifier (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-PHN1,001-0139,Single Phono Jack on D Plate - Solder type
D-PHN1C,002-0139,Single Phono Jack on D Plate - Solder type (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-PHN2,001-0140,Dual Phono Jacks on D Plate - Solder type
D-PHN2C,002-0140,Dual Phono Jacks on D Plate - Solder type (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-PSP1,001-5655,Decora-Style Active Loudspeaker - White - User Level Adjust
D-PSP1A,001-5665,Decora-Style Active Loudspeaker - Format-A - White - User Level Adjust
D-PSP1AF,001-5669,Decora-Style Active Loudspeaker - Format-A - White - Installer Level Adjust
D-PSP1F,001-5658,Decora-Style Active Loudspeaker - White - Installer Level Adjust
DR35-1M,001-0390,DIN Rail - 1 m
DRA-35F,001-5172,Flat-Pak DIN Rail Adapter
DRA-35P,001-5178,Power Supply DIN Rail Adapter
DRA-35R,001-5174,Rack-Up DIN Rail Adapter
DRA-35S,001-5170,STICK-ON DIN Rail Adapter
DRA-35S6,001-5180,STICK-ON DIN Rail Adapter
DRA-35T,001-5177,TX Series DIN Rail Adapter
D-RC2,001-5400,Remote Audio Mixing Control
D-RC2C,002-5400,Remote Audio Mixing Control (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RC2M,001-5410,Remote Audio Mixing Control with Muting
D-RC2MC,002-5410,Remote Audio Mixing Control with Muting (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RC2ST,001-5565,2 Channel Remote Control for STICK-ONs
D-RC2STC,002-5565,2 Channel Remote Control for STICK-ONs (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RC3,001-5420,Remote Audio Mixing Control
D-RC3C,002-5420,Remote Audio Mixing Control (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RC3M,001-5430,Remote Audio Mixing Control with Muting
D-RC3MC,002-5430,Remote Audio Mixing Control with Muting (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RC4M,001-5615,4 Channel Remote Control for RU-ASX4D and RU-ASX4DR
D-RC4MC,002-5615,4 Channel Remote Control for RU-ASX4D and RU-ASX4DR (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RC4RU,001-5580,4 Channel Remote Control for RACK-UPs
D-RC4RUC,002-5580,4 Channel Remote Control for RACK-UPs (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RC4ST,001-5570,4 Channel Remote Control for ST-SX4
D-RC4STC,002-5570,4 Channel Remote Control for ST-SX4 (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RCS4,001-5590,Remote Channel Selector - 4 Channels - controls RU-ASX4D/R
D-RCS4C,002-5590,Remote Channel Selector - 4 Channels - controls RU-ASX4D/R (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RCX1,001-9305,Room Control for RCX-5C Room Combiner - Decora®
D-RCX10R,001-9320,Rotary Level Control - Rotary Encoder - Decora®  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
D-RCX10RC,002-9320,Rotary Level Control - Rotary Encoder - Decora® (Custom Labeled) (See Part # ZCST-LBL for setup charge).  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.       
D-RCX1C,002-9305,Room Control for RCX-5C Room Combiner - Decora® (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RCX2,001-9312,Room Control for RCX-5C Room Combiner - Decora®
D-RCX2C,002-9312,Room Control for RCX-5C Room Combiner - Decora® (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RLC10,001-5605,Remote Level Control - Rotary Optical Encoder
D-RLC10C,002-5605,Remote Level Control - Rotary Optical Encoder (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RLC10K,001-0114,Remote Level Controller - 0 to 10 k Ohm
D-RLC10KC,002-0114,Remote Level Controller - 0 to 10 k Ohm (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RLC10KM,001-5440,Remote Level Control with Muting
D-RLC10KMC,002-5440,Remote Level Control with Muting (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RLC10M,001-5610,Remote Level Control with Muting - Rotary Optical Encoder
D-RLC10MC,002-5610,Remote Level Control with Muting - Rotary Optical Encoder (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RLC2,001-5585,Remote Level Controller - Ramp
D-RLC2C,002-5585,Remote Level Controller - Ramp (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RLC3,001-5560,Remote Level Controller - Preset Levels
D-RLC3C,002-5560,Remote Level Controller - Preset Levels (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RN02,001-7695,Wall-Mounted Mic/Line Dante Interface 0 x 2 - White
D-RN02C,002-7695,Wall-Mounted Mic/Line Dante Interface 0 x 2 - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RN12,001-7705,Wall-Mounted Bi-Directional Mic/Line Dante Interface 1 x 2 - White
D-RN12C,002-7705,Wall-Mounted Bi-Directional Mic/Line Dante Interface 1 x 2 - White  (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RN22,001-7690,Wall-Mounted Bi-Directional Mic/Line Dante Interface 2 x 2 - White
D-RN22C,002-7690,Wall-Mounted Bi-Directional Mic/Line Dante Interface 2 x 2 - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RN2ML,001-7710,Wall-Mounted Bi-Directional Mic/Line Dante Interface 2 x 2 - White
D-RN2MLC,002-7710,Wall-Mounted Bi-Directional Mic/Line Dante Interface 2 x 2 - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-RT2 ,001-5575,Remote Control Selector - Power On/Off
D-RT2C,002-5575,Remote Control Selector - Power On/Off (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-1/4F,001-5240,1/4 in. Phone Jack on D Plate - Terminal block connections - Stainless Steel
DS-1/4FC,002-5240,1/4 in. Phone Jack on D Plate - Terminal block connections - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-A2,001-5500,"Line Output Assembly - RCA jacks, Terminal block - Stainless"
DS-A2C,002-5500,"Line Output Assembly - RCA jacks, Terminal block - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge) (See Part # ZCST-LBL for setup charge)"
DS-AVM4,001-5372,"Audio/Video Decora® Jack Panel - Stainless - DB15, Phono, Mini"
DS-AVM4C,002-5372,"Audio/Video Decora® Jack Panel - Stainless - DB15, Phono, Mini (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DS-BLANK,001-5242,D Style Plate with No Jack Cut Out - Stainless Steel
DS-BLANKC,002-5242,D Style Plate with No Jack Cut Out - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-BNC,001-5232,BNC Jack on D Plate - Solder type - Stainless Steel
DS-BNC/D,001-5220,Insulated Double BNC Jack on D Plate - Stainless Steel
DS-BNC/DC,002-5220,Insulated Double BNC Jack on D Plate - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-BNCC,002-5232,BNC Jack on D Plate - Solder type - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-BT1A,001-7602,Wall-Mounted Bluetooth® Audio Format-A Interface - Stainless Steel
DS-BT1AC,002-7602,Wall-Mounted Bluetooth® Audio Format-A Interface - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-BTN21,001-7702,Wall-Mounted Bluetooth®  Dante Interface - Stainless Steel
DS-BTN21C,002-7702,Wall-Mounted Bluetooth®  Dante Interface - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-CIJ3,001-5360,Consumer Input Jacks – Mono
DS-CIJ3C,002-5360,Consumer Input Jacks – Mono (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-CIJ3D,001-5366,Consumer Input Jacks – Stereo
DS-CIJ3DC,002-5366,Consumer Input Jacks – Stereo (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-D1,001-5452,Single plate for standard and specialty connectors - Stainless
DS-D1C,002-5452,Single plate for standard and specialty connectors - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-D1T,001-5732,Single plate for standard and specialty connectors - Top Hole Position - Stainless Steel
DS-D1TC,002-5732,Single plate for standard and specialty connectors - Top Hole Position - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-D2,001-5457,Double plate for standard and specialty connectors - Stainless
DS-D2C,002-5457,Double plate for standard and specialty connectors - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-F,001-5234,Double Type F Jack on D Plate - Stainless Steel
DS-FC,002-5234,Double Type F Jack on D Plate - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-SFRC8,001-5635,Room Control Station for SourceFlex Distributed Audio System
D-SFRC8C,002-5635,Room Control Station for SourceFlex Distributed Audio System (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-SFRC8L,001-5640,Audio Selector for SourceFlex Distributed Audio System
D-SFRC8LC,002-5640,Audio Selector for SourceFlex Distributed Audio System (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-SH1,001-5350,Stereo Headphone Amplifier - Decora® panel with user level control
D-SH1C,002-5350,Stereo Headphone Amplifier - Decora® panel with user level control (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-SH1M,001-5395,Stereo Headphone Amplifier - Decora® panel with user level control
D-SH1MC,002-5395,Stereo Headphone Amplifier - Decora® panel with user level control (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-HA1A,001-5598,Format-A Stereo Headphone Amplifier - Stainless Steel (Compatible with Guest Room Audio System)
DS-HA1AC,002-5598,Format-A Stereo Headphone Amplifier - Stainless Steel (Compatible with Guest Room Audio System) (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-HPA3,001-5623,3.5 Watt Audio Power and Headphone Amplifier - SS
DS-HPA3C,002-5623,3.5 Watt Audio Power and Headphone Amplifier - SS (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-J1,001-5470,"Microphone Input Assembly - XLR, Terminal block - Stainless"
DS-J1C,002-5470,"Microphone Input Assembly - XLR, Terminal block - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DS-J2,001-5480,"Line Input Assembly - RCA jacks, Terminal block - Stainless"
DS-J2C,002-5480,"Line Input Assembly - RCA jacks, Terminal block - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DS-J3,001-5490,"Mic/Line Input Assembly - XLR, RCA, Terminal block - Stainless"
DS-J3C,002-5490,"Mic/Line Input Assembly - XLR, RCA, Terminal block - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DS-J3M,001-5489,"Mic/Line Input Assembly - XLR, Mini-jack, Terminal block - Stainless"
DS-J3MC,002-5489,"Mic/Line Input Assembly - XLR, Mini-jack, Terminal block - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)"
DS-MJPT,001-5462,Mini-Jack Pass-Through Plate - Stainless
DS-MJPTC,002-5462,Mini-Jack Pass-Through Plate - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-NLC1,001-7632,Network Remote Control with LEDs - Dante - Stainless Steel
DS-NLC1R,001-7682,Network Remote Control with LEDs - Dante - Stainless Steel
DS-NMC1,001-7637,Network Remote Control with Screen - Dante - Stainless Steel
DS-NMC1R,001-7687,Network Remote Control with Screen - Dante - Stainless Steel
DS-NVC2,001-7719,Dante/AES67 Level Control Two Channel with Screen - SS
D-SP1A,001-5645,2 Watt Decora-Style 8 Ohm Loudspeaker - White
DS-PA3,001-5628,3.5 Watt Decora® Audio Amplifier - SS
DS-PA3C,002-5628,3.5 Watt Decora® Audio Amplifier - SS (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-PHN1,001-5238,Single Phono Jack on D Plate - Solder type - Stainless Steel
DS-PHN1C,002-5238,Single Phono Jack on D Plate - Solder type - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-PHN2,001-5236,Dual Phono Jacks on D Plate  - Solder type - Stainless Steel
DS-PHN2C,002-5236,Dual Phono Jacks on D Plate  - Solder type - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-PSP1,001-5662,Decora-Style Active Loudspeaker - Stainless Steel - User Level Adjust
DS-PSP1A,001-5672,Decora-Style Active Loudspeaker - Format-A - Stainless Steel - User Level Adjust
DS-PSP1AF,001-5673,Decora-Style Active Loudspeaker - Format-A - Stainless Steel - Installer Level Adjust
DS-PSP1F,001-5663,Decora-Style Active Loudspeaker - Stainless Steel - Installer Level Adjust
DS-RC2,001-5405,Remote Audio Mixing Control - Stainless
DS-RC2C,002-5405,Remote Audio Mixing Control - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RC2M,001-5415,Remote Audio Mixing Control with Muting - Stainless
DS-RC2MC,002-5415,Remote Audio Mixing Control with Muting - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RC2ST,001-5569,2 Channel Remote Control for STICK-ONs - stainless steel
DS-RC2STC,002-5569,2 Channel Remote Control for STICK-ONs - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RC3,001-5425,Remote Audio Mixing Control - Stainless
