Part ID,Part #,Description
DS-RC3C,002-5425,Remote Audio Mixing Control - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RC3M,001-5435,Remote Audio Mixing Control with Muting - Stainless
DS-RC3MC,002-5435,Remote Audio Mixing Control with Muting - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RC4M,001-5618,4 Channel Remote Control for RU-ASX4D and RU-ASX4DR - Stainless
DS-RC4MC,002-5618,4 Channel Remote Control for RU-ASX4D and RU-ASX4DR - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RC4RU,001-5584,4 Channel Remote Control for RACK-Ups - stainless steel
DS-RC4RUC,002-5584,4 Channel Remote Control for RACK-Ups - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RC4ST,001-5574,4 Channel Remote Control for ST-SX4 - stainless steel
DS-RC4STC,002-5574,4 Channel Remote Control for ST-SX4 - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RCS4,001-5593,Remote Channel Selector - 4 Channels - controls RU-ASX4D/R - stainless steel
DS-RCS4C,002-5593,Remote Channel Selector - 4 Channels - controls RU-ASX4D/R - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RCX1,001-9308,Room Control for RCX-5C Room Combiner - Decora® Stainless
DS-RCX10R,001-9323,Rotary Level Control - Rotary Encoder - Decora® Stainless  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
DS-RCX10RC,002-9323,Rotary Level Control - Rotary Encoder - Decora® Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.       
DS-RCX1C,002-9308,Room Control for RCX-5C Room Combiner - Decora® Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RCX2,001-9315,Room Control for RCX-5C Room Combiner - Decora® Stainless
DS-RCX2C,002-9315,Room Control for RCX-5C Room Combiner - Decora® Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RLC10,001-5609,Remote Level Control - Rotary Optical Encoder - stainless steel
DS-RLC10C,002-5609,Remote Level Control - Rotary Optical Encoder - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RLC10K,001-5265,Remote Level Controller - 0 to 10 k Ohm - stainless steel
DS-RLC10KC,002-5265,Remote Level Controller - 0 to 10 k Ohm - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RLC10KM,001-5445,Remote Level Control with Muting - stainless steel
DS-RLC10KMC,002-5445,Remote Level Control with Muting - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RLC10M,001-5614,Remote Level Control with Muting - Rotary Optical Encoder - stainless steel
DS-RLC10MC,002-5614,Remote Level Control with Muting - Rotary Optical Encoder - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RLC2,001-5588,Remote Level Controller - Ramp - stainless steel
DS-RLC2C,002-5588,Remote Level Controller - Ramp - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RLC3,001-5564,Remote Level Controller - Preset Levels - stainless steel
DS-RLC3C,002-5564,Remote Level Controller - Preset Levels - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RN02,001-7697,Wall-Mounted Mic/Line Dante Interface 0 x 2 - Stainless Steel
DS-RN02C,002-7697,Wall-Mounted Mic/Line Dante Interface 0 x 2 - Stainess Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RN12,001-7707,Wall-Mounted Bi-Directional Mic/Line Dante Interface 1 x 2 - Stainless Steel
DS-RN12C,002-7707,Wall-Mounted Bi-Directional Mic/Line Dante Interface 1 x 2 - Stainless Steel  (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RN22,001-7692,Wall-Mounted Bi-Directional Mic/Line Dante Interface 2 x 2 - Stainless Steel
DS-RN22C,002-7692,Wall-Mounted Bi-Directional Mic/Line Dante Interface 2 x 2 - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RN2ML,001-7712,Wall-Mounted Bi-Directional Mic/Line Dante Interface 2 x 2 - Stainless Steel
DS-RN2MLC,002-7712,Wall-Mounted Bi-Directional Mic/Line Dante Interface 2 x 2 - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-RT2,001-5579,Remote Control Selector - stainless steel
DS-RT2C,002-5579,Remote Control Selector - stainless steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-SFRC8,001-5638,Room Control Station for SourceFlex Distributed Audio System - SS
DS-SFRC8C,002-5638,Room Control Station for SourceFlex Distributed Audio System - SS (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-SFRC8L,001-5643,Audio Selector for SourceFlex Distributed Audio System - SS
DS-SFRC8LC,002-5643,Audio Selector for SourceFlex Distributed Audio System - SS (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-SH1,001-5353,Stereo Headphone Amplifier - Decora® panel with user level control
DS-SH1C,002-5353,Stereo Headphone Amplifier - Decora® panel with user level control (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-SH1M ,001-5397,Stereo Headphone Amplifier - stainless Decora® panel with user level control
DS-SH1MC,002-5397,Stereo Headphone Amplifier - stainless Decora® panel with user level control (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-SP1A,001-5649,2 Watt Decora-Style 8 Ohm Loudspeaker - Stainless Steel
DS-TPA1A,001-4673,3.5 Watt Decora® Audio Power Amplifier - Stainless (Compatible with Guest Room Audio System)
DS-TPA1AC,002-4673,3.5 Watt Decora® Audio Power Amplifier - Stainless (Compatible with Guest Room Audio System) (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPR1A,001-4545,Active Single-Pair Receiver - Twisted Pair Format-A - XLR mic/line output - Stainless
DS-TPR1AC,002-4545,Active Single-Pair Receiver - Twisted Pair Format-A - XLR mic/line output - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPR2A,001-4550,Active Two-Pair Receiver - Twisted Pair Format-A - stereo phono jack outputs - Stainless
DS-TPR2AC,002-4550,Active Two-Pair Receiver - Twisted Pair Format-A - stereo phono jack outputs - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPR3A,001-4555,Active Three-Pair Receiver - Twisted Pair Format-A - XLR & stereo phono out - Stainless
DS-TPR3AC,002-4555,Active Three-Pair Receiver - Twisted Pair Format-A - XLR & stereo phono out - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPRX3A,001-5633,Three Input Format-A Source Selector - SS
DS-TPRX3AC,002-5633,Three Input Format-A Source Selector - SS (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPS1A,001-4530,Active Single-Pair Sender - Twisted Pair Format-A - XLR mic input w phantom - Stainless
DS-TPS1AC,002-4530,Active Single-Pair Sender - Twisted Pair Format-A - XLR mic input w phantom - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPS2A,001-4535,Active Two-Pair Sender - Twisted Pair Format-A - stereo phono jack inputs - Stainless
DS-TPS2AC,002-4535,Active Two-Pair Sender - Twisted Pair Format-A - stereo phono jack inputs - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPS2AM,001-4509,Active Two-Pair Sender - Twisted Pair Format-A - XLR microphone & stereo Mini-jack in - Stainless
DS-TPS2AMC,002-4509,Active Two-Pair Sender - Twisted Pair Format-A - XLR microphone & stereo Mini-jack in - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPS3A,001-4540,Active Three-Pair Sender - Twisted Pair Format-A - XLR mic & stereo phono in - Stainless
DS-TPS3AC,002-4540,Active Three-Pair Sender - Twisted Pair Format-A - XLR mic & stereo phono in - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPS6A,001-4630,Passive Single-Pair Sender - Twisted Pair Format-A - stereo phono jack inputs - Stainless
DS-TPS6AC,002-4630,Passive Single-Pair Sender - Twisted Pair Format-A - stereo phono jack inputs - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPS7A,001-4650,Passive Single-Pair Sender - Twisted Pair Format-A - Mini-Jack Input - Stainless
DS-TPS7AC,002-4650,Passive Single-Pair Sender - Twisted Pair Format-A - Mini-Jack Input - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPS8A,001-5603,Format-A Multiple Location Audio Sender - Stainless Steel (Compatible with Guest Room Audio System)
DS-TPS8AC,002-5603,Format-A Multiple Location Audio Sender - Stainless Steel (Compatible with Guest Room Audio System) (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPSL1A,001-4684,Active Single-Pair Sender - Twisted Pair Format-A - Mini-Jack & Stereo RCA In - Stainless
DS-TPSL1AC,002-4684,Active Single-Pair Sender - Twisted Pair Format-A - Mini-Jack & Stereo RCA In - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPSL2A,001-4688,Active Two-Pair Sender - Twisted Pair Format-A - XLR Microphone & Stereo RCA In - Stainless
DS-TPSL2AC,002-4688,Active Two-Pair Sender - Twisted Pair Format-A - XLR Microphone & Stereo RCA In - Stainless (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPSM2A,001-4693,Active Two-Pair Sender Dual Microphone Preamplifier - Format-A - Stainless
DS-TPSM2AC,002-4693,Active Two-Pair Sender Dual Microphone Preamplifier - Format-A - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-TPSML1A,001-4699,Active Single-Pair Sender - UTP Format-A - XLR mic/line input w phantom – Stainelss
DS-TPSML1AC,002-4699,Active Single-Pair Sender - UTP Format-A - XLR mic/line input w phantom – Stainelss (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-XLR2,001-5222,XLR 3-pin Female & 3-pin Male on D Plate - Terminal block connections - Stainless Steel
DS-XLR2C,002-5222,XLR 3-pin Female & 3-pin Male on D Plate - Terminal block connections - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-XLR2F,001-5224,Dual XLR 3-pin Female Jacks on D Plate - Terminal block connections - Stainless Steel
DS-XLR2FC,002-5224,Dual XLR 3-pin Female Jacks on D Plate - Terminal block connections - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-XLR2M,001-5226,Dual XLR 3-pin Male Jacks on D Plate - Terminal block connections - Stainless Steel
DS-XLR2MC,002-5226,Dual XLR 3-pin Male Jacks on D Plate - Terminal block connections - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-XLR3F,001-5228,XLR 3-pin Female Jack on D Plate - Terminal block connections - Stainless Steel
DS-XLR3FC,002-5228,XLR 3-pin Female Jack on D Plate - Terminal block connections - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DS-XLR3M,001-5230,XLR 3-pin Male Jack on D Plate - Terminal block connections - Stainless Steel
DS-XLR3MC,002-5230,XLR 3-pin Male Jack on D Plate - Terminal block connections - Stainless Steel (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DTB,001-0047,STICK-ON Series Detachable Terminal Block
D-TPA1A,001-4670,3.5 Watt Decora® Audio Power Amplifier (Compatible with Guest Room Audio System)
D-TPA1AC,002-4670,3.5 Watt Decora® Audio Power Amplifier (Compatible with Guest Room Audio System) (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPR1A,001-4515,Active Single-Pair Receiver - Twisted Pair Format-A  - XLR mic/line output
D-TPR1AC,002-4515,Active Single-Pair Receiver - Twisted Pair Format-A  - XLR mic/line output (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPR2A,001-4520,Active Two-Pair Receiver - Twisted Pair Format-A  - stereo phono jack outputs
D-TPR2AC,002-4520,Active Two-Pair Receiver - Twisted Pair Format-A  - stereo phono jack outputs (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPR3A,001-4525,Active Three-Pair Receiver - Twisted Pair Format-A  - XLR and stereo phono outputs
D-TPR3AC,002-4525,Active Three-Pair Receiver - Twisted Pair Format-A  - XLR and stereo phono outputs (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPRX3A,001-5630,Three Input Format-A Source Selector
D-TPRX3AC,002-5630,Three Input Format-A Source Selector (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPS1A,001-4500,Active Single-Pair Sender - Twisted Pair Format-A - XLR mic input w phantom
D-TPS1AC,002-4500,Active Single-Pair Sender - Twisted Pair Format-A - XLR mic input w phantom (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPS2A,001-4505,Active Two-Pair Sender - Twisted Pair Format-A - stereo phono jack inputs
D-TPS2AC,002-4505,Active Two-Pair Sender - Twisted Pair Format-A - stereo phono jack inputs (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPS2AM,001-4506,Active Two-Pair Sender - Twisted Pair Format-A - XLR microphone & stereo Mini-jack in
D-TPS2AMC,002-4506,Active Two-Pair Sender - Twisted Pair Format-A - XLR microphone & stereo Mini-jack in (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPS3A,001-4510,Active Three-Pair Sender - Twisted Pair Format-A - XLR mic & stereo phono in
D-TPS3AC,002-4510,Active Three-Pair Sender - Twisted Pair Format-A - XLR mic & stereo phono in (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPS6A,001-4625,Passive Single-Pair Sender - Twisted Pair Format-A - stereo phono jack inputs
D-TPS6AC,002-4625,Passive Single-Pair Sender - Twisted Pair Format-A - stereo phono jack inputs (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPS7A,001-4645,Passive Single-Pair Sender - Twisted Pair Format-A - Mini-Jack Input
D-TPS7AC,002-4645,Passive Single-Pair Sender - Twisted Pair Format-A - Mini-Jack Input (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPS8A,001-5600,Format-A Multiple Location Audio Sender (Compatible with Guest Room Audio System)
D-TPS8AC,002-5600,Format-A Multiple Location Audio Sender (Compatible with Guest Room Audio System) (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPSL1A,001-4680,Active Single-Pair Sender - Twisted Pair Format-A - Mini-Jack & Stereo RCA In
D-TPSL1AC,002-4680,Active Single-Pair Sender - Twisted Pair Format-A - Mini-Jack & Stereo RCA In (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPSL2A,001-4685,Active Two-Pair Sender - Twisted Pair Format-A - XLR Microphone & Stereo RCA In
D-TPSL2AC,002-4685,Active Two-Pair Sender - Twisted Pair Format-A - XLR Microphone & Stereo RCA In (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPSM2A,001-4690,Active Two-Pair Sender Dual Microphone Preamplifier - Format-A - White
D-TPSM2AC,002-4690,Active Two-Pair Sender Dual Microphone Preamplifier - Format-A - White (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-TPSML1A,001-4695,Active Single-Pair Sender - UTP Format-A - XLR mic/line input w phantom – White
D-TPSML1AC,002-4695,Active Single-Pair Sender - UTP Format-A - XLR mic/line input w phantom – White (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-XLR2,001-0148,XLR 3-pin Female & 3-pin Male on D Plate - Terminal block connections
D-XLR2C,002-0148,XLR 3-pin Female & 3-pin Male on D Plate - Terminal block connections (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-XLR2F,001-0146,Dual XLR 3-pin Female Jacks on D Plate - Terminal block connections
D-XLR2FC,002-0146,Dual XLR 3-pin Female Jacks on D Plate - Terminal block connections (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-XLR2M,001-0147,Dual XLR 3-pin Male Jacks on D Plate - Terminal block connections
D-XLR2MC,002-0147,Dual XLR 3-pin Male Jacks on D Plate - Terminal block connections (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-XLR3F,001-0136,XLR 3-pin Female Jack on D Plate - Terminal block connections
D-XLR3FC,002-0136,XLR 3-pin Female Jack on D Plate - Terminal block connections (Custom Labeled) (See Part # ZCST-LBL for setup charge)
D-XLR3M,001-0135,XLR 3-pin Male Jack on D Plate - Terminal block connections
D-XLR3MC,002-0135,XLR 3-pin Male Jack on D Plate - Terminal block connections (Custom Labeled) (See Part # ZCST-LBL for setup charge)
EC-6,001-0501,AC Extension Cord (6 pack) - North American - 6 in.
EP-1W,001-0205,European Plate Adapters for One Single D-Style Decora Product - white 
EP-1B,001-0206,European Plate Adapters for One Single D-Style Decora Product - black 
EP-2W,001-0200,European Plate Adapters for Two Single D-Style or One Dual-Decora DD-Style Product - white
EP-2B,001-0201,European Plate Adapters for Two Single D-Style or One Dual-Decora DD-Style Product - black
EU-BTN21,001-7725,Bluetooth® Audio Dante Network Interface
EZ-ADA4,001-1600,Stereo Audio Distribution Amplifier - 1X4 
EZ-ADA4X,001-1602,Stereo Audio Distribution Amplifier - 1X4 
EZ-ADA4Y,001-1603,Stereo Audio Distribution Amplifier - 1X4  (No Power Supply)
EZ-AFC2,001-1500,Audio Format Converter - Stereo Balanced ↔ Unbalanced 
EZ-AFC2X,001-1502,Audio Format Converter - Stereo Balanced ↔ Unbalanced 
EZ-AFC2Y,001-1503,Audio Format Converter - Stereo Balanced ↔ Unbalanced  (No Power Supply)
EZ-AVX4,001-1555,Composite Video and Stereo Audio Input Switcher - 4X1.  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
EZ-CC6,001-1622,Component Chassis for 6 Increments of 1/6 Rack Width
EZ-DC1,001-1625,Desktop Chassis for 1/6 Rack Width EZ Products  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
EZ-DC2,001-1627,Desktop Chassis for 1/3 Rack Width EZ Products
EZ-FP1,001-1629,Filler Panel - 1/6 Rack Width for EZ-RA6 or EZ-CC6
EZ-HDA4A,001-1515,Stereo Headphone Distribution Amp - 1X4 Front-Panel Outputs
EZ-HDA4AX,001-1517,Stereo Headphone Distribution Amp - 1X4 Front-Panel Outputs
EZ-HDA4AY,001-1518,Stereo Headphone Distribution Amp - 1X4 Front-Panel Outputs (No Power Supply)
EZ-HDA4B,001-1520,Stereo Headphone Distribution Amp - 1X4 Rear-Panel Outputs
EZ-HDA4BX,001-1522,Stereo Headphone Distribution Amp - 1X4 Rear-Panel Outputs
EZ-HDA4BY,001-1523,Stereo Headphone Distribution Amp - 1X4 Rear-Panel Outputs (No Power Supply)
EZ-HDA6,001-1525,Stereo Headphone Distribution Amp - 1X6 Rear-Panel Outputs
EZ-HDA6X,001-1527,Stereo Headphone Distribution Amp - 1X6 Rear-Panel Outputs
EZ-HDA6Y,001-1528,Stereo Headphone Distribution Amp - 1X6 Rear-Panel Outputs (No Power Supply)
EZ-HK1,001-1655,"Stereo Audio ""HUM KILLER"""
EZ-HK2,001-1660,"Composite Video ""HUM KILLER"""
EZ-HK3,001-1650,"Stereo Audio/Composite Video ""HUM KILLER"""
EZ-HSX4,001-1560,Stereo Audio Input Switcher with Headphone Amp - 4X1
EZ-HSX4X,001-1562,Stereo Audio Input Switcher with Headphone Amp - 4X1
EZ-HSX4Y,001-1563,Stereo Audio Input Switcher with Headphone Amp - 4X1 (No Power Supply)
EZ-MCP1,001-1645,Microphone Compressor
EZ-MCP1X,001-1647,Microphone Compressor
EZ-MCP1Y,001-1648,Microphone Compressor (No Power Supply)
EZ-MPA1,001-1615,Microphone Preamplifier - Stereo Output with Compressors
EZ-MPA1X,001-1617,Microphone Preamplifier - Stereo Output with Compressors
EZ-MPA1Y,001-1618,Microphone Preamplifier - Stereo Output with Compressors (No Power Supply)
EZ-MPA2,001-1620,Dual Microphone Preamplifier - Stereo Output with Compressors
EZ-MPA2X,001-1621,Dual Microphone Preamplifier - Stereo Output with Compressors
EZ-MPA2Y,001-1623,Dual Microphone Preamplifier - Stereo Output with Compressors (No Power Supply)
EZ-MX4L,001-1605,Stereo Line-Level Audio Mixer - 4X1
EZ-MX4LX,001-1607,Stereo Line-Level Audio Mixer - 4X1
EZ-MX4LY,001-1608,Stereo Line-Level Audio Mixer - 4X1 (No Power Supply)
EZ-MX4ML,001-1610,Mic and Stereo Line Audio Mixer - 4X1
EZ-MX4MLX,001-1612,Mic and Stereo Line Audio Mixer - 4X1
EZ-MX4MLY,001-1613,Mic and Stereo Line Audio Mixer - 4X1 (No Power Supply)
EZ-MXA20,001-1505,20 Watt Stereo Audio Mixer Amplifier with EQ
EZ-MXA20X,001-1507,20 Watt Stereo Audio Mixer Amplifier with EQ
EZ-MXA20Y,001-1508,20 Watt Stereo Audio Mixer Amplifier with EQ (No Power Supply)
EZ-PA20,001-1510,20 Watt Stereo Audio Power Amplifier
EZ-PA20X,001-1512,20 Watt Stereo Audio Power Amplifier
EZ-PA20Y,001-1513,20 Watt Stereo Audio Power Amplifier (No Power Supply)
EZ-PD3,001-1665,24 Vdc Power Distributor - 1x3
EZ-PH1,001-1570,Stereo Phono Preamplifier
EZ-PH1X,001-1572,Stereo Phono Preamplifier
EZ-PH1Y,001-1573,Stereo Phono Preamplifier (No Power Supply)
EZ-RA6,001-1630,Rack Adapter for 6 Increments of 1/6 Rack Width
EZ-SD1,001-1633,Storage Drawer - 1/6 Rack Width for EZ-RA6 or EZ-CC6  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
EZ-SD2,001-1635,Storage Drawer - 1/3 Rack Width for EZ-RA6 or EZ-CC6
EZ-SMB1,001-1637,Surface Mount Bezel for 1/6 Rack Width EZ Products  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
EZ-SMB2,001-1639,Surface Mount Bezel for 1/3 Rack Width EZ Products
EZ-SX4,001-1565,Stereo Audio Input Switcher - 4X1
EZ-SX4X,001-1567,Stereo Audio Input Switcher - 4X1
EZ-SX4Y,001-1568,Stereo Audio Input Switcher - 4X1 (No Power Supply)
EZ-UCB2,001-1640,Under Counter Bracket Pair for all EZ Product Widths
EZ-VDA2B,001-1535,Video Distribution Amplifier - 1X2 BNC NTSC/PAL
EZ-VDA2BY,001-1538,Video Distribution Amplifier - 1X2 BNC NTSC/PAL (No Power Supply)
EZ-VDA3B,001-1540,Video Distribution Amplifier - 1X3 BNC NTSC/PAL
EZ-VDA3BX,001-1542,Video Distribution Amplifier - 1X3 BNC NTSC/PAL
EZ-VDA3BY,001-1543,Video Distribution Amplifier - 1X3 BNC NTSC/PAL (No Power Supply)
FP-ALC1,001-2085,Automatic Level Control - Mono - Terminals
FP-ALC2,001-2087,Automatic Level Control - Stereo - Phono Jacks
FP-AVDA4,001-2010,Stereo Audio/Video Distributor - 1x4 - Phono Jacks
FP-BUC2,001-2055,Balanced to Unbalanced Converter - 2 channel
FP-CH8,001-2090,Chime Generator
FP-CT1,001-5115,Locking Cable Tie Bracket for FP-RRA  and FP-RRAH
FP-DCC1,001-2000,12 Vdc to 24 Vdc Converter
FP-DFC2,001-2135,Digital Audio Format Converter (24/192)
FP-HRA,001-2178,"10.4"" Rack Mount for FLAT-PAK Series Products"
FP-MP1,001-2070,Studio Quality Mic Preamp w/ Phantom - Terminals & XLR
FP-MPA2,001-2060,"Dual Mic Phantom Adapter 12, 24, 48 V - XLR"
FP-MR2,001-2170,Message Repeater
FP-MX3R,001-2140,Remote Controlled Line-Level Mixer
FP-MX4,001-2080,4 Mic or Line Input Mixer - Mic and Line Out
FP-NML2,001-2195,Network to Mic/Line Interface - Dante Input - 2 Balanced Mic/Line Outputs
FP-NML2P,001-2200,Network to Mic/Line Interface - Dante Input - 2 Balanced Mic/Line Outputs - with PoE
FP-NML2V,001-2185,Network to Mic/Line Interface with VCA - Dante Input - 2 Balanced Mic/Line Outputs
FP-NML2VP,001-2190,Network to Mic/Line Interface with VCA - Dante Input - 2 Balanced Mic/Line Outputs - with PoE
FP-PA18,001-2155,18 W Audio Power Amplifier with Power Supply
FP-PA18H,001-2160,18 W High Ambient Temperature Audio Power Amplifier with Power Supply
FP-PA18HX,001-2161,18 W High Ambient Temperature Audio Power Amplifier with Power Supply - Export Model 
FP-PA18HY,001-2163,18 W High Ambient Temperature Audio Power Amplifier (No Power Supply)
FP-PA18X,001-2156,18 W Audio Power Amplifier with Power Supply - Export Model
FP-PA18Y,001-2157,18 W Audio Power Amplifier  (No Power Supply)
FP-PA20,001-2110,Power Amplifier - 20 W 8 Ohm
FP-PA20A,001-2100,Power Amplifier - 20 W 70 & 100 V Outputs
FP-PA20B,001-2115,Power Amplifier - 20 W 25 V Outputs
FP-PA35A,001-2150,"Audio Amplifier 35 W, 25 V / 70 V / 100 V with Power Supply"
FP-PA35AY,001-2153,"Audio Amplifier 35 W, 25 V / 70 V / 100 V  (No Power Supply)"
