Part ID,Part #,Description
FP-PEQ3,001-2075,3 Band Parametric Equalizer - Terminals/Phono Jacks
FP-PSB1A,001-2120,Power Supply Mounting Bracket
FP-RRA,001-2035,Rack Adapter FLAT-PAK  Series - 19 in. Fixed
FP-RRAH,001-2040,Rack Adapter FLAT-PAK Series - 19 in. Hinged
FP-RRB1,001-5214,Rear rack rail mounting kit for any FLAT-PAK module
FP-SPR1,001-2065,SPDIF Repeater / Amplifier
FP-TP4PW,001-2130,Power Inserter - Twisted Pair - four sets of outputs - signal loop-through
FP-TPS4A,001-2175,Format-A Two-Pair Audio Sender (Compatible with Guest Room Audio System)
FP-TPSR4A,001-2180,Format-A Audio Sender/Receiver (Compatible with Guest Room Audio System)
FP-TPX3A,001-2145,Format-A Twisted Pair Remote Controlled Mixer 
FP-UBC2,001-2025,Unbalanced to Balanced Converter - 2 Channel
FP-UBC6,001-2030,Unbalanced to Balanced Converter - 6 Channel
FP-VDA4,001-2020,NTSC/PAL Video Distribution Amp - 1x4 - BNC
GB6,001-0123,Grounding Bar for TS-1D Modules
HD-ASC1,001-3390,HD Series Amplifier Security Cover
HD-BP1,001-3385,HD Series Amplifier BACK-PACK Rear Cover
HD-FP1,001-3375,HD Series Filler Panel
HD-FP2L,001-3380,HD Series Filler Panel with Lens  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
HD-HRA1,001-3447,"10.4"" Rack Mount for HD Series Products"
HD-MA35,001-3404,35 Watt Mixer Amplifier - 4/8 Ohm Outputs
HD-MA35A,001-3405,"35 Watt Mixer Amplifier - 25 V, 70 V, 100 V Outputs"
HD-MA35AX,001-3407,"35 Watt Mixer Amplifier - 25 V, 70 V, 100 V Outputs - Export Model - Excludes Power Cord"
HD-MA35AY,001-3408,"35 Watt Mixer Amplifier - 25 V, 70 V, 100 V Outputs (No Power Supply)"
HD-MA35Y,001-3406,35 Watt Mixer Amplifier - 4/8 Ohm Outputs (No Power Supply)
HD-MA35U,001-3335,35 Watt Mixer Amplifier - 4/8 Ohm Outputs
HD-MA35UY,001-3338,35 Watt Mixer Amplifier - 4/8 Ohm Outputs (No Power Supply)
HD-MA35UA,001-3345,"35 Watt Mixer Amplifier - 25 V, 70 V, 100 V Outputs"
HD-MA35UAY,001-3348,"35 Watt Mixer Amplifier - 25 V, 70 V, 100 V Outputs (No Power Supply)"
HD-PA35,001-3410,35 Watt Power Amplifier - 4/8 Ohm Outputs
HD-PA35A,001-3415,"35 Watt Audio Power Amplifier - 25 V, 70 V, 100 V Outputs"
HD-PA35AX,001-3417,"35 Watt Audio Power Amplifier - 25 V, 70 V, 100 V Outputs - Export Model - Excludes Power Cord"
HD-PA35AY,001-3418,"35 Watt Audio Power Amplifier - 25 V, 70 V, 100 V Outputs (No Power Supply)"
HD-PA35U,001-3360,35 Watt Power Amplifier - 4/8 Ohm Outputs
HD-PA35UA,001-3365,"35 Watt Audio Power Amplifier - 25 V, 70 V, 100 V Outputs"
HD-PA35UAY,001-3368,"35 Watt Audio Power Amplifier - 25 V, 70 V, 100 V Outputs (No Power Supply)"
HD-PA35UX,001-3362,35 Watt Power Amplifier - 4/8 Ohm Outputs - Export Model - Excludes Power Cord  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
HD-PA35UY,001-3353,35 Watt Power Amplifier - 4/8 Ohm Outputs (No Power Supply)
HD-PA35X,001-3412,35 Watt Power Amplifier - 4/8 Ohm Outputs - Export Model - Excludes Power Cord
HD-PA35Y,001-3413,35 Watt Power Amplifier - 4/8 Ohm Outputs (No Power Supply)
HD-RA2,001-3370,HD Series Rack Adapter
HD-RA35U,001-3350,35 Watt Remote Mixer Amplifier - 4/8 Ohm Outputs
HD-RA35UA,001-3355,"35 Watt Remote Mixer Amplifier - 25 V, 70 V, 100 V Outputs"
HD-RA35UAX,001-3357,"35 Watt Remote Mixer Amplifier - 25 V, 70 V, 100 V Outputs - Export Model - Excludes Power Cord  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last."
HD-RA35UAY,001-3358,"35 Watt Remote Mixer Amplifier - 25 V, 70 V, 100 V Outputs (No Power Supply)"
HD-RA35UX,001-3352,35 Watt Remote Mixer Amplifier - 4/8 Ohm Outputs - Export Model - Excludes Power Cord
HD-RA35UY,001-3363,35 Watt Remote Mixer Amplifier - 4/8 Ohm Outputs (No Power Supply)
HD-WM1,001-3435,"Wall Mount Bracket for HD Series Amplifiers with ""U"" in Model Number"
HD-WM2,001-3438,"Wall Mount Bracket for HD Series Amplifiers without ""U"" in Model Number"
HR-ADC1,001-3310,Analog to Digital Converter
HR-DAC1,001-3275,D to A Converter - 24/192 - AES/EBU and S/PDIF
HR-DDA4,001-3255,Digital Audio Distributor - AES/EBU and S/PDIF
HR-DSX4,001-3265,Digital Audio Selector - AES/EBU and S/PDIF
HR-FP1,001-3273,HALF-RACK Filler Panel
HR-HRA1,001-3445,"10.4"" Rack Mount for Half Rack Series Products"
HR-MCP2,001-3440,Dual Channel Microphone Compressor
HR-MP2,001-3325,Dual Microphone Preamplifier
HR-MP2A,001-3332,Dual Microphone Preamplifier
HR-RA2,001-3270,Rack adapter for HALF-RACK series
HR-RU1,001-3290,Mounting Adapter Kit for a RACK-UP Module
HR-UDC1,001-3260,Universal Digital Audio Converter - AES/EBU and S/PDIF
MB-1,001-0072,Mounting Kit - ST and TX Series
MB-2,001-0073,Mounting Kit - TX Series
MB-3,001-5055,"Kit to Mount ST, TX Series Modules on FP Panel"
MBR-1U,001-5205,Installation of 1 RU product under a shelf
MSR-1,001-0074,Snap Rail Adapter - STICK-ON Series
PM-1T,001-5195,Pole Mount Tray
PM-3T,001-5535,Pole Mount Tray - black
PM-3TW,001-5539,Pole Mount Tray - white
PS-24AS,001-0507,"24 Vdc Switching Power Supply, North American AC Plug, 500 mA, dc Plug"
PS-24AX,001-0510,"24 Vdc Switching Power Supply, Interchangeable AC Plug, 500 mA, dc Plug"
PS-24KS,001-0508,"24 Vdc Switching Power Supply, North American AC Plug, 1 A, dc Plug"
PS-24KX,001-0509,"24 Vdc Switching Power Supply, Interchangeable AC Plug, 1 A, dc Plug"
PS-24V3,001-0512,"24 Vdc Switching Power Supply, no cord, 3 A, dc Plug (Replaces PS-24V2)"
PS-24V3A,001-0511,"24 Vdc Switching Power Supply, with North American cord, 3 A, dc Plug (Replaces PS-24V2A)"
PT-AMG2,001-4010,Portable Audio Signal Generator & Monitor
PT-ASG1,001-4000,Portable Audio Signal Generator
PT-TLS1,001-4001,PT Replacement Test Lead Set (Female XLR & clip leads)
PT-TLS2,001-4002,PT Replacement Test Lead Set (Male XLR & clip leads)
RC-1UR,001-3580,19” Universal Rack Chassis
RC-HPS1,001-5555,"10.4"" Rack Mount for Desktop Power Supply and TX Module"
RC-HPS3,001-5550,"10.4"" Rack Mount for 3 Desktop Power Supplies  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last."
RC-PS5,001-5510,"19"" Rack Mount for 5 Desktop Power Supplies"
RCX-5C,001-9075,Room Combining System Controller
RCX-5CM,001-9200,Room Combining System Controller - with mic muting
RCX-BZL,001-9150,Bezel for RCX-CD1
RCX-CD1,001-9095,Remote Control for RCX-5C Room Combiner
RCX-CD1L,001-9096,"Remote Control for RCX-5C Room Combiner, with key lock"
RK-2U,001-5145,19” Utility Rack Chassis - 2 RU
RK-2UX,001-5150,19” Utility Rack Chassis 2 RU Extension
RM-D3,001-5325,Rack Mount for 3 Decora® Modules - 1 RU
RM-D9,001-5330,Rack Mount for 9 Decora® Modules - 3 RU
RM-DFP1,001-5355,Decora® Filler Panel for RM-D3 or RM-D9
RM-FP1,001-2045,One Rack Unit Filler Panel - 19 inch rack
RM-FP2,001-2050,Two Rack Unit Filler Panel - 19 inch rack
RM-MP12A,001-9065,Audio Monitor Panel - 12 Line or Speaker Inputs
RU2-CS1,001-9235,Serial Controlled Interface - Computer Control
RU-ADA4D,001-3425,"Audio Distribution Amplifier - Balanced/Unbalanced - 2x4, 1x8"
RU-ADA8D,001-3430,"Audio Distribution Amplifier - Balanced/Unbalanced - 2x8, 1x16"
RU-ADL2,001-3205,Professional Audio Delay
RU-AFC2,001-3420,Audio Format Converter
RU-ASX4D,001-3475,4x1 Stereo Balanced Audio Switcher - Terminal Block
RU-ASX4DR,001-3480,4x1 Stereo Balanced Audio Switcher - Terminal Block
RU-AVX4,001-3200,Audio/Video Switcher - 4x1 - Phono.  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
RU-BNF,001-3555,"Format A Bi-Directional Network Interface - Format A, Bal Line Aux Inputs, Dante Input - 3 Format A, 1 Balanced Line Aux Outputs, Dante Output"
RU-BNFP,001-3560,"Format A Bi-Directional Network Interface - Format A, Bal Line Aux Inputs, Dante Input - 3 Format A, 1 Balanced Line Aux Outputs, Dante Output - with PoE"
RU-BR1,001-3070,Mounting Bracket for RACK-UP Series
RU-D1,001-3573,RACK-UP Mount for Decora® Module
RU-EQ3,001-3021,Three Band Equalizer with Knobs - Terminals
RU-FN,001-3565,"Format A to Network Interface - 1 Format A, 1 Balanced Line Aux Inputs - Dante Output"
RU-FNP,001-3570,"Format A to Network Interface - 1 Format A, 1 Balanced Line Aux Inputs - Dante Output - with PoE"
RU-FP1R,001-3583,RACK-UP Filler Panel
RU-HRA1,001-3450,"10.4"" Rack Mount for RACK-UP Series Products"
RU-LB2,001-3515,"Line-Level Bi-Directional Network Interface - 2 Balanced Line Inputs, Dante Input - 2 Balanced Line Outputs, Dante Output"
RU-LB2P,001-3520,"Line-Level Bi-Directional Network Interface - 2 Balanced Line Inputs, Dante Input - 2 Balanced Line Outputs, Dante Output - with PoE"
RU-LB4,001-3505,"Line-Level Bi-Directional Network Interface - 4 Balanced Line Inputs, Dante Input - 4 Balanced Line Outputs, Dante Output"
RU-LB4P,001-3510,"Line-Level Bi-Directional Network Interface - 4 Balanced Line Inputs, Dante Input - 4 Balanced Line Outputs, Dante Output - with PoE"
RU-MLA2,001-3215,Dual Mic / Line Preamplifier
RU-MLA2T,001-3220,Dual Mic / Line Preamplifier
RU-MLB2,001-3535,"Mic/Line Bi-Directional Network Interface - 2 Switchable Mic or Line Inputs, Dante Input - 2 Balanced Line Outputs, Dante Output"
RU-MLB2P,001-3540,"Mic/Line Bi-Directional Network Interface - 2 Switchable Mic or Line Inputs, Dante Input - 2 Balanced Line Outputs, Dante Output - with PoE"
RU-MLB4,001-3525,"Mic/Line Bi-Directional Network Interface - 4 Switchable Mic or Line Inputs, Dante Input - 4 Balanced Line Outputs, Dante Output"
RU-MLB4P,001-3530,"Mic/Line Bi-Directional Network Interface - 4 Switchable Mic or Line Inputs, Dante Input - 4 Balanced Line Outputs, Dante Output - with PoE"
RU-MLD4,001-3225,Mic / Line Distribution Amplifier
RU-MLD4T,001-3230,Mic / Line Distribution Amplifier
RU-MX4,001-3190,Pro 4 Input Mic/Line Mixer W/Phantom - Mic and Line Out
RU-MX4L,001-3195,Pro 4 Input Line Mixer - Mic and Line Out
RU-MX4LT,001-3198,Pro 4 Input Line Mixer - Mic and Line Out
RU-MX4T,001-3197,Pro 4 Input Mic/Line Mixer W/Phantom - Mic and Line Out
RU-MX5ML,001-3320,5 Input Mic/Line Mixer w/Phantom - Mic and Line Out
RU-NFD,001-3545,"Network to Format A Interface/Distributor - Dante Input - 3 Format A, 1 Balanced Line Aux Outputs"
RU-NFDP,001-3550,"Network to Format A Interface/Distributor - Dante Input - 3 Format A, 1 Balanced Line Aux Outputs - with PoE"
RU-NL2,001-3495,Network to Line Level Interface - Dante Input - 2 Balanced Line Outputs
RU-NL2P,001-3500,Network to Line Level Interface - Dante Input - 2 Balanced Line Outputs - with PoE
RU-NL4,001-3485,Network to Line Level Interface - Dante Input - 4 Balanced Line Outputs
RU-NL4P,001-3490,Network to Line Level Interface - Dante Input - 4 Balanced Line Outputs - with PoE
RU-NMP44,001-7670,Network Mixing Processor - 4 x 4 
RU-PA40D,001-3305,40 W Stereo Audio Power Amp with VCA & Power Supply - Includes North American Power Cord
RU-PA40DE,001-3308,40 W Stereo Audio Power Amp with VCA & Power Supply - Export Model - Excludes Power Cord
RU-PA40DY,001-3307,40 W Stereo Audio Power Amp with VCA  (No Power Supply)
RU-PA518,001-3056,Power Amplifier 5 W Stereo / 18 W Mono
RU-RA3R,001-3152,Rack adapter for RACK-UP series
RU-SC2,001-3031,RS-232/422 Serial Converter (Full-Duplex)
RU-SH1,001-3210,Stereo Headphone Amplifier
RU-SM16A,001-3465,2 Channel Audio Meter - Average/Peak/Hold
RU-SM16D,001-3470,4 Channel Audio Meter - Average/Peak/Hold
RU-SMA1,001-5208,RACK-UP Mounting Plate - mounts any RACK-UP module in a cabinet or other flat surface
RU-SQ6A,001-3235,Sequencing Controller
RU-TP4PW,001-3240,Power Inserter - Twisted Pair - four sets of outputs - signal loop-through
RU-TPDA,001-3245,Active Distributor - Twisted Pair Format-A - RDL Format-A input to Four outputs
RU-TPS4A,001-3250,Active Sender / Distributor - Twisted Pair Format-A - Three audio inputs to Four outputs
RU-UDA4,001-0065,Stereo Audio Distributor - 2x4 - Phono Jacks
RU-VA2,001-0064,Dual Adjustable Video Attenuator - BNC
RU-VCA2A,001-3455,Digitally Controlled 2 Channel Audio Attenuator
RU-VCA6A,001-3460,Digitally Controlled 6 Channel Audio Attenuator
RU-VDA4B,001-0056,NTSC/PAL Video Distribution Amp - 1x4 - BNC
RU-VSX4,001-3060,Video Switcher - 4x1 - BNC.    Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
SAS-8C,001-9120,8 Station Audio Controller
SAS-8i,001-9225,Audio input chassis
SAS-HC8,001-9130,Headphone Control Station
SAS-HCB,001-9136,Headphone Control Bracket
SAS-HCT,001-9295,Mounting Bracket for SAS-HC8
SF-BNC2,001-7500,Bidirectional Unbalanced Stereo Audio Network Interface - Dante
SF-DN4,001-7510,Digital Audio to Network Interface - Dante
SF-MA100A,001-7660,Format-A to 100 W Mono Audio Mixer-Amplifier - 70 V or 100 V
SF-MA100AY,001-7662,Format-A to 100 W Mono Audio Mixer-Amplifier - 70 V or 100 V (No Power Supply)
SF-MSM1,001-7550,Microphone Stand Mount for SysFlex Modules
SF-ND2,001-7515,Network to Digital Audio Interface - Dante
SF-NH1,001-7520,Network to Stereo Headphone Amplifier - Dante
SF-NL2,001-7525,Network to Audio Interface - Dante
SF-NP100A,001-7667,Network to 100 W Mono Audio Amplifier - 70 V or 100 V
SF-NP100AY,001-7669,Network to 100 W Mono Audio Amplifier - 70 V or 100 V (No Power Supply)
SF-NP16E,001-7560,PoE+ Network to 16 W Mono Audio Amplifier - 70 V or 100 V - Dante
SF-NP35E,001-7565,PoE++ Network to 35 W Mono Audio Amplifier - 70 V or 100 V - Dante
SF-NP40D,001-7530,Network to 40 Watt Stereo Power Amplifier - Dante - Includes North American Power Cord
SF-NP40DE,001-7533,Network to 40 Watt Stereo Power Amplifier - Dante - Export Model - Excludes Power Cord
SF-NP40DY,001-7534,Network to 40 Watt Stereo Power Amplifier - Dante  (No Power Supply)
SF-NP50A,001-7570,Network to 50 W Mono Audio Amplifier - 70 V or 100 V - Dante - Includes North American Power Cord
SF-NP50AX,001-7573,Network to 50 W Mono Audio Amplifier - 70 V or 100 V - Dante - Export Model - Excludes Power Cord
SF-NP50AY,001-7574,Network to 50 W Mono Audio Amplifier - 70 V or 100 V - Dante  (No Power Supply)
SF-PA100A,001-7663,Format-A to 100 W Mono Audio Amplifier - 70 V or 100 V
SF-PA100AY,001-7665,Format-A to 100 W Mono Audio Amplifier - 70 V or 100 V (No Power Supply)
SF-PA50A,001-7575,50 W Mono Audio Amplifier - 70 V or 100 V - Includes North American Power Cord
SF-PA50AX,001-7578,50 W Mono Audio Amplifier - 70 V or 100 V - Export Model - Excludes Power Cord
SF-PA50AY,001-7579,50 W Mono Audio Amplifier - 70 V or 100 V (No Power Supply)
SF-RA1,001-7535,SysFlex Rack Adapter
SF-TPR24A,001-7640,Line-Level Receiver - 8 Twisted Pair Format-A Input Sections - 24 Audio Channels - Balanced Line Level Outputs on Detachable Terminal Blocks
SF-TPRS12A,001-7647,Line-Level Sender/Receiver - 4 Twisted Pair Format-A Input & 4 Output Sections - 12 Audio Channels Each - Balanced Line Level Inputs/Outputs on Detachable Terminal Blocks
SF-TPS24A,001-7643,Line-Level Sender - 8 Twisted Pair Format-A Output Sections - 24 Audio Channels - Balanced Line Level Inputs on Detachable Terminal Blocks
SF-UCB2,001-7555,Under Counter Bracket Pair for SysFlex Products
SF-UN1,001-7540,USB to Network Interface - Dante
SF-XMN4,001-7545,Microphone to Network Interface - Dante
SMB-1B,001-5342,Single Surface Mount Box for Decora® Remote Controls and Panels - black
SMB-1G,001-5341,Single Surface Mount Box for Decora® Remote Controls and Panels - gray
SMB-1W,001-5340,Single Surface Mount Box for Decora® Remote Controls and Panels - white
SMB-2B,001-5345,Double Single Surface Mount Box for Decora® Remote Controls and Panels - black
SMB-2G,001-5344,Double Surface Mount Box for Decora® Remote Controls and Panels - gray
SMB-2W,001-5343,Double Surface Mount Box for Decora® Remote Controls and Panels - white
SMB-3B,001-5364,Triple Surface Mount Box for Decora® Remote Controls and Panels - black
SMB-3G,001-5349,Triple Surface Mount Box for Decora® Remote Controls and Panels - gray
SMB-3W,001-5348,Triple Surface Mount Box for Decora® Remote Controls and Panels - white
SMB-4B,001-5365,Quadruple Surface Mount Box for Decora® Remote Controls and Panels -  black
SMB-4G,001-5347,Quadruple Surface Mount Box for Decora® Remote Controls and Panels - gray
SMB-4W,001-5346,Quadruple Surface Mount Box for Decora® Remote Controls and Panels - white
SMK-12,001-0046,STICK-ON Mounting Plate
SR-10,001-5065,STICK-ON Series Mounting Rack - 10 Modules
SR-12A,001-5210,STICK-ON Series Mounting Rack - 12 Modules
SR-4,001-5160,STICK-ON Series Mounting Rack - 7 Modules max.
SR-TB10,001-5165,Terminal Block Assembly for SR-4
STA-1,001-0003,Dual Bal/Unbal Line Amp: -12 to 20 dB Gain 
STA-1M,001-0004,Audio Line Amplifier - Mono: -14 to 14 dB Gain
STA-2A,001-1100,Dual High Gain Line Amplifiers 
ST-ACR1,001-0031,Line-Level Controlled Relay - 0.5 to 5 s Delay
ST-ACR1M,001-0032,Mic-Level Controlled Relay - 0.5 to 5 s Delay
ST-ACR2,001-0033,Line-Level Controlled Relay - 5 to 50 s Delay
ST-CL2,001-1135,Compressor/Limiter - Line Level 
ST-CX2,001-1145,Two Band Active Line-level Crossover
ST-CX2S,001-1147,Subwoofer Crossover Filter
STD-10K,001-0041,Passive Audio Divider/Combiner - 10 k Ohm
STD-150,001-0039,Passive Audio Divider/Combiner - 150 Ohm
STD-600,001-0040,Passive Audio Divider/Combiner - 600 Ohm
ST-DA3,001-0012,Line Level Distribution Amplifier - 1x3 
ST-EQ3,001-0025,3 Band Equalizer - Line Level
ST-FS6,001-1030,Ferrite Suppressor / RF Filter
ST-GCA3,001-1125,Gain Control Amplifier - Line Level 
ST-GLA1,001-1000,Gated Line Amplifier - Noise Gate
ST-GSP1,001-1006,Gated Speech Preamplifier - Mic to Line
ST-HP3,001-1150,300 Hz and 500 Hz High Pass Filter
ST-IC1,001-0131,Intercom Amplifier
ST-LCR1,001-0029,Logic Controlled Relay - Momentary
ST-LCR1H,001-1045,High Power Logic Controlled Relay - 8 A
ST-LCR2,001-0030,Logic Controlled Relay - Latching
ST-LCR3,001-1120,Logic Controlled Relay - Dual Alternate Pulse
ST-LEQ1,001-1020,Loudness Equalizer - Use with VCA  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
STM-1,001-0014,Microphone Preamplifier - 50 dB Gain
STM-2,001-0015,Adjustable Gain Mic Preamp - 35 to 65 dB Gain
STM-2X,001-0100,Switched Mic Preamp - 35 to 65 dB Gain
STM-3,001-0016,High Gain Mic Preamp - 35 to 75 dB Gain
ST-MA2,001-1011,Muting Monitor Amplifier - 2 Watt
STM-DA3,001-0013,Mic Level Distribution Amplifier - 1x3
STM-LDA3,001-1085,Studio Quality Mic Preamp w/phantom - 3 Line Outputs
ST-MPA24,001-1170,Microphone 24 V Phantom Adapter - 2 Channel (Replaces ST-MPA2)
ST-MPA48,001-1165,Microphone 48 V Phantom Adapter - 2 Channel
ST-MX2,001-1075,2 Mic or Line Input Mixer - Mic and Line Out
ST-MX3,001-0008,3 Line Input Mixer - Line Out 
ST-NG1,001-0104,White and Pink Noise Generator
ST-OSC2A,001-0037,Audio Oscillator - 1kHz and 10 kHz
ST-OSC2B,001-0038,Audio Oscillator - 100 Hz and 400 Hz
STP-1,001-0042,Universal Audio Attenuators - 2 Channel
ST-PA18,001-1155,18 Watt 8 Ohm Audio Power Amplifier
ST-PA2,001-0006,Utility Audio Amplifier - 2 Watt
ST-PA6,001-0007,Audio Power Amplifier - 6 Watt
ST-PBR4,001-2125,Mounting Bracket for 4 STICK-ON Modules
ST-PD5U,001-1040,"Power Distributor - Switching - (PS-24AS, PS-24AX, PS-24KS, PS-24KX, PS-24V3, PS-24V3A)"
ST-PH1,001-0019,Stereo Phono Preamplifier 
STR-19A,001-0043,STICK-ON Series Racking System - 12 Modules
STR-19B,001-0130,STICK-ON Series Racking System - 10 Modules
ST-RG1,001-0021,Ramp Generator - 0 to 10 Vdc Output
STR-H6A,001-5552,"10.4"" Rack Mount for 6 STICK-ON Series Products"
ST-RRB1,001-5216,Rear rack rail mounting kit for any STICK-ON module
ST-RX2,001-0169,Audio Routing Switcher - 1x2
ST-SH2,001-1055,Stereo Headphone Amplifier
STS-RF1,001-1200,Shielded Chassis for STICK-ON Module
ST-SSR1,001-0035,Line-Level Audio Switch - 2x1
ST-SX4,001-0036,Unbalanced Audio Switcher - 4x1
ST-TC1,001-0023,Telephone System Coupler - CO Line Simulator
ST-UBA2,001-1035,Unbalanced to Balanced Amplifier - 2 channel
ST-UMX3,001-1105,Universal Audio Mixer - 3 Mic or Line x 1 Mic or Line
ST-VCA3,001-1160,Voltage Controlled Amplifier
ST-VOX1,001-0034,Voice Operated Relay
ST-VP1,001-0024,Voice-Over / Paging Module - Manual
ST-VP2,001-1025,Automatic Ducking Module
TP-BN14,007-7592,Networked Mic Input and Selectable Monitor Station
TP-HA1A,001-4665,Format-A Stereo Headphone Amplifier (Compatible with Guest Room Audio System)
TS-1D,001-0119,Transient Suppressor
TX-10B,001-0071,Bridging Input Transformer
TX-1A,001-0068,Bal. to Unbal. Transformer - Adjustable
TX-1W,001-0101,Music on Hold Amplifier - 1 Watt
TX-70A,001-0069,"25 V, 70 V, 100 V Input Interface - Unbal. Line Out"
TX-8A,001-7125,4 Ohm / 8 Ohm Input Interface - Unbalanced/Balanced Line Out
TX-8i,001-7040,Headphone Isolation Transformer
TX-A2,001-7115,"Audio Converter – Balanced to Unbalanced - Terminals, dual-RCA"
TX-A2D,001-7120,"Dual Audio Converter – Balanced to Unbalanced -Terminals, dual-RCA"
TX-AFC1F,001-7020,"Bal. to Unbal. Audio Transformer - XLR, Phono"
TX-AFC1M,001-7025,"Unbal. to Bal. Audio Transformer - Phono, XLR"
TX-AT1,001-7030,Audio Isolation Transformer - 600 Ohm 1:1
TX-AT1S,001-7035,Audio Isolation Transformer w/ Suppression
TX-AVX,001-7006,Automatic Video Switch - 2x1 - BNC
TX-HRA3,001-5557,"10.4"" Rack Mount for 3 TX Series Products"
TX-J2,001-7045,Unbalanced Input Transformer
TX-J3,001-7048,Unbalanced Input Transformer
TX-LC2,001-7011,Unbalanced to Balanced Line Combiner
TX-LM2,001-0070,Line Level to Mic Level Transformer
TX-MVX,001-7016,Manual Rmt Controlled Video Switch - 2x1 - BNC
TX-MX2R,001-0160,Audio Mixer / Distribution Amplifier
TX-PA40D,001-7100,40 W Stereo Audio Power Amplifier with Power Supply - Includes North American Power Cord
TX-PA40DE,001-7103,40 W Stereo Audio Power Amplifier with Power Supply - Export Model - Excludes Power Cord
TX-PA40DY,001-7104,40 W Stereo Audio Power Amplifier (No Power Supply)
TX-PCR1,001-7105,Paging Controlled Relay
TX-PD8X,001-7130,24 Vdc Switching Power Supply Distributor - 1x8
TX-PSD1,001-7110,Paging Sound Detector
TX-RA5,001-5051,TX Series Racking System - 5 Modules 1RU
TX-RRB1,001-5218,Rear rack rail mounting kit for any TX series module
TX-TP1PW,001-7050,Power Inserter - Twisted Pair - 1 set of outputs - signal loop-through
TX-TP4PW,001-7135,Power Inserter / Signal Breakout - Twisted Pair Format-A
TX-TPR1A,001-7065,Active Single-Pair Receiver - Twisted Pair Format-A  - balanced line output
TX-TPR2A,001-7010,Active Two-Pair Receiver - Twisted Pair Format-A
TX-TPR3A,001-7070,Active Three-Pair Receiver - Twisted Pair Format-A  - balanced line outputs
TX-TPR6A,001-7075,Passive Single-Pair Receiver - Twisted Pair Format-A  - balanced line output
TX-TPS1A,001-7055,Active Single-Pair Sender - Twisted Pair Format-A  - balanced line input
TX-TPS3A,001-7060,Active Three-Pair Sender - Twisted Pair Format-A  - balanced line inputs
TX-TPS6A,001-7080,Passive Single-Pair Sender - Twisted Pair Format-A  - balanced line input
TX-TPSA1A,001-7140,Three Pair Combiner to Single Pair Sender - Twisted Pair Format-A
TX-VCR,001-7000,Video Controlled Relay - BNC
TX-VLA1,001-0165,Video Line Amplifier - Adjustable Gain & EQ
UC-1R,001-5095,Single Wide Enclosure - RACK-UP Mounts
UC-2R,001-5105,Double Wide Enclosure - RACK-UP Mounts
WB-1U,001-5120,Universal Wall Box - Single - Mounts RDL Remotes
WB-2U,001-5125,Universal Wall Box - Double - Mounts RDL Remotes
WDG1R,001-5545,"Table Top Chassis for RU, MAX RU, ST and TX Series"
WH1,001-5036,Warthog™ Power Supply Mount - Surfacemount
WH2,001-5038,Warthog Power Supply Mount - Rackmount
ZCST-LBL,999-0005,"Setup Charge for Custom Labeled Products (Add 1 Part # ZCST-LBL for each custom part # ordered on the same purchase order, regardless of quantity)"
